,title,start_time,end_time,word,stutter_type,
0,p000001s000001w000001,0,0.23,I,n,
1,p000001s000001w000002,0.23,0.42,like,n,
2,p000001s000001w000003,0.42,0.515,to,n,
3,p000001s000001w000004,0.515,0.8,play,n,
4,p000001s000001w000005,0.8,1.555,football,n,
5,p000001s000001w000006,1.555,1.825,for,n,
6,p000001s000001w000007,1.825,2.615,"fun,",n,
7,p000001s000001w000008,2.615,3.49,and,n,
8,p000001s000001w000009,3.49,4.015,because,n,
9,p000001s000001w000010,4.015,4.135,I,n,
10,p000001s000001w000011,4.135,4.42,like,n,
11,p000001s000001w000012,4.42,4.59,to,n,
12,p000001s000001w000013,4.59,4.9,play,n,
13,p000001s000001w000014,4.9,5.135,for,n,
14,p000001s000001w000015,5.135,5.735,"fun,",n,
15,p000001s000001w000016,5.735,6.235,I,n,
16,p000001s000001w000017,6.235,7.96,normally,n,
17,p000001s000001w000018,7.96,8.59,BE,s,
18,p000001s000001w000019,8.59,8.95,on,n,
19,p000001s000001w000020,8.95,9.2,the,n,
20,p000001s000001w000021,9.2,10.215,football,n,
21,p000001s000001w000022,10.215,11.42,team,n,
22,p000001s000001w000023,11.42,12.525,and,n,
23,p000001s000001w000024,12.525,12.715,one,n,
24,p000001s000001w000025,12.715,12.995,thing,n,
25,p000001s000001w000026,12.995,13.215,I,n,
26,p000001s000001w000027,13.215,13.485,like,n,
27,p000001s000001w000028,13.485,13.705,to,n,
28,p000001s000001w000029,13.705,13.9,be,n,
29,p000001s000001w000030,13.9,14.14,on,n,
30,p000001s000001w000031,14.14,14.32,the,n,
31,p000001s000001w000032,14.32,15.24,football,n,
32,p000001s000001w000033,15.24,15.695,"team,",n,
33,p000001s000001w000034,15.695,16.035,because,n,
34,p000001s000001w000035,16.035,16.19,you,n,
35,p000001s000001w000036,16.19,16.36,have,n,
36,p000001s000001w000037,16.36,17.24,to,n,
37,p000001s000001w000038,17.24,17.75,LISTEN,s,
38,p000001s000001w000039,17.75,17.985,and,n,
39,p000001s000001w000040,17.985,18.635,hear,n,
40,p000001s000001w000041,18.635,18.99,what,n,
41,p000001s000001w000042,18.99,19.33,the,n,
42,p000001s000001w000043,19.33,19.6,coach,n,
43,p000001s000001w000044,19.6,19.715,is,n,
44,p000001s000001w000045,19.715,19.875,going,n,
45,p000001s000001w000046,19.875,20.405,to,n,
46,p000001s000001w000047,20.405,20.83,tell,n,
47,p000001s000001w000048,20.83,20.99,you,n,
48,p000001s000001w000049,20.99,22.555,er,i,
49,p000001s000001w000050,22.555,22.555,I,n,
50,p000001s000001w000051,22.555,22.755,don't,n,
51,p000001s000001w000052,22.755,23.79,know,n,
52,p000001s000001w000053,23.79,24.08,what,n,
53,p000001s000001w000054,24.08,24.485,to,n,
54,p000001s000001w000055,24.485,25.32,say!,n,
55,p000001s000001w000056,25.32,25.63,Er,i,
56,p000001s000001w000057,25.63,25.88,er,i,
57,p000001s000001w000058,25.88,26.445,my,n,
58,p000001s000001w000059,26.445,30.405,favourite,n,
59,p000001s000001w000060,30.405,30.96,SPORT,s,
60,p000001s000001w000061,30.96,31.19,is,n,
61,p000001s000001w000062,31.19,31.355,TO,s,
62,p000001s000001w000063,31.355,31.58,um,i,
63,p000001s000001w000064,31.58,32.235,SWIM,s,
64,p000001s000001w000065,32.235,32.87,because,n,
65,p000001s000001w000066,32.87,32.975,when,n,
66,p000001s000001w000067,32.975,33.03,you,n,
67,p000001s000001w000068,33.03,33.2,"swim,",n,
68,p000001s000001w000069,33.2,33.22,you,n,
69,p000001s000001w000070,33.22,33.22,get,n,
70,p000001s000001w000071,33.22,33.225,more,n,
71,p000001s000001w000072,33.225,33.225,ENERGY,s,
72,p000001s000001w000073,33.225,33.225,in,n,
73,p000001s000001w000074,33.225,33.26,you,n,
74,p000001s000001w000075,33.26,33.6,and,n,
75,p000001s000001w000076,33.6,34.25,after,n,
76,p000001s000001w000077,34.25,34.54,you,n,
77,p000001s000001w000078,34.54,35.495,swim,n,
78,p000001s000001w000079,35.495,35.62,you,n,
79,p000001s000001w000080,35.62,35.735,have,n,
80,p000001s000001w000081,35.735,35.845,to,n,
81,p000001s000001w000082,35.845,35.945,TAKE,s,alignment off
82,p000001s000001w000083,35.945,35.945,a,n,
83,p000001s000001w000084,35.945,36.345,SHOWER,s,
84,p000001s000001w000085,36.345,36.655,and,n,
85,p000001s000001w000086,36.655,37.275,rinse,n,
86,p000001s000001w000087,37.275,37.325,off,n,
87,p000001s000001w000088,37.325,37.37,the,n,
88,p000001s000001w000089,37.37,37.58,that,n,
89,p000001s000001w000090,37.58,37.825,thing,n,
90,p000001s000001w000091,37.825,37.87,in,n,
91,p000001s000001w000092,37.87,37.88,the,n,
92,p000001s000001w000093,37.88,38.84,water.,n,
93,p000002s000001w000001,38.84,39.495,Computer,n,
94,p000002s000001w000002,39.495,40.86,games?,n,
95,p000002s000001w000003,40.86,40.86,er,i,
96,p000002s000001w000004,40.86,40.86,er,i,
97,p000002s000001w000005,40.86,40.935,er,i,
98,p000002s000001w000006,40.935,41.115,I,n,
99,p000002s000001w000007,41.115,41.42,don't,n,
100,p000002s000001w000008,41.42,41.44,know,n,
101,p000002s000001w000009,41.44,42.08,what,n,
102,p000002s000001w000010,42.08,42.38,to,n,
103,p000002s000001w000011,42.38,43.115,say,n,
104,p000002s000001w000012,43.115,44.17,about,n,
105,p000002s000001w000013,44.17,45.295,computer,n,
106,p000002s000001w000014,45.295,46.21,games!,n,
107,p000002s000001w000015,46.21,46.635,What,n,
108,p000002s000001w000016,46.635,48.15,about,n,
109,p000002s000001w000017,48.15,48.56,your,n,
110,p000002s000001w000018,48.56,51.915,favorite,n,
111,p000002s000001w000019,51.915,53.27,football,n,
112,p000002s000001w000020,53.27,54.76,"team,",n,
113,p000002s000001w000021,54.76,55.55,favorite,n,
114,p000002s000001w000022,55.55,55.835,player,n,
115,p000002s000001w000023,55.835,56.09,sort,n,
116,p000002s000001w000024,56.09,56.25,of,n,
117,p000002s000001w000025,56.25,56.53,thing?,n,
118,p000002s000001w000026,56.53,56.63,I,n,
119,p000002s000001w000027,56.63,63.185,don't,n,
120,p000002s000001w000028,63.185,63.555,have,n,
121,p000002s000001w000029,63.555,63.72,a,n,
122,p000002s000001w000030,63.72,64.6,football,n,
123,p000002s000001w000031,64.6,64.955,"team,",n,
124,p000002s000001w000032,64.955,65.105,I,n,
125,p000002s000001w000033,65.105,65.4,like,n,
126,p000002s000001w000034,65.4,65.615,any,n,
127,p000002s000001w000035,65.615,66.09,team!,n,
128,p000002s000001w000036,66.09,67.35,"Okay,",n,
129,p000002s000001w000037,67.35,67.765,what,n,
130,p000002s000001w000038,67.765,68.385,about,n,
131,p000002s000001w000039,68.385,68.64,"holidays,",n,
132,p000002s000001w000040,68.64,69.045,very,n,
133,p000002s000001w000041,69.045,69.42,best,n,
134,p000002s000001w000042,69.42,69.62,you,n,
135,p000002s000001w000043,69.62,69.9,ever,n,
136,p000002s000001w000044,69.9,71.085,been?,n,
137,p000002s000001w000045,71.085,71.755,My,n,
138,p000002s000001w000046,71.755,72.13,best,n,
139,p000002s000001w000047,72.13,72.56,place,n,
140,p000002s000001w000048,72.56,72.89,I,n,
141,p000002s000001w000049,72.89,73.315,ever,n,
142,p000002s000001w000050,73.315,73.525,"been,",n,
143,p000002s000001w000051,73.525,75.035,was,n,
144,p000002s000001w000052,75.035,75.86,to,n,
145,p000002s000001w000053,75.86,76.105,er,i,
146,p000002s000001w000054,76.105,81.585,LEGOLAND.,s,
147,p000002s000001w000055,81.585,81.985,After,n,
148,p000002s000001w000056,81.985,82.355,we,n,
149,p000002s000001w000057,82.355,83.28,WENT,s,
150,p000002s000001w000058,83.28,83.665,"there,",n,
151,p000002s000001w000059,83.665,83.87,the,n,
152,p000002s000001w000060,83.87,84.565,next,n,
153,p000002s000001w000061,84.565,85.46,holiday,n,
154,p000002s000001w000062,85.46,85.9,we,n,
155,p000002s000001w000063,85.9,86.53,went,n,
156,p000002s000001w000064,86.53,87.58,to,n,
157,p000002s000001w000065,87.58,89.89,CHESSINGTON,s,
158,p000002s000001w000066,89.89,90.03,and,n,
159,p000002s000001w000067,90.03,90.645,then,n,
160,p000002s000001w000068,90.645,92.105,the,n,
161,p000002s000001w000069,92.105,92.845,Easter,n,
162,p000002s000001w000070,92.845,94.18,holidays,n,
163,p000002s000001w000071,94.18,94.435,we,n,
164,p000002s000001w000072,94.435,94.9,went,n,
165,p000002s000001w000073,94.9,95.035,to,n,
166,p000002s000001w000074,95.035,96.405,Thorpe,n,
167,p000002s000001w000075,96.405,97.59,Park,n,
168,p000002s000001w000076,97.59,98.03,in,n,
169,p000002s000001w000077,98.03,98.155,the,n,
170,p000002s000001w000078,98.155,99.325,MORNING,s,
171,p000002s000001w000079,99.325,99.98,and,n,
172,p000002s000001w000080,99.98,100.485,we,n,
173,p000002s000001w000081,100.485,100.485,"	",s,
174,p000002s000001w000082,100.485,101.18,CAME,s,
175,p000002s000001w000083,101.18,101.495,back,n,
176,p000002s000001w000084,101.495,102.12,something,n,
177,p000002s000001w000085,102.12,102.315,to,n,
178,p000002s000001w000086,102.315,102.895,nine,n,
179,p000002s000001w000087,102.895,103.15,in,n,
180,p000002s000001w000088,103.15,103.295,the,n,
181,p000002s000001w000089,103.295,106.33,afternoon.,n,
182,p000002s000001w000090,106.33,106.88,And,n,
183,p000002s000001w000091,106.88,106.955,the,n,
184,p000002s000001w000092,106.955,107.63,rides,n,
185,p000002s000001w000093,107.63,108.11,was,n,
186,p000002s000001w000094,108.11,109.23,fun.,n,
187,p000002s000001w000095,109.23,109.67,My,n,
188,p000002s000001w000096,109.67,110.015,favourite,n,
189,p000002s000001w000097,110.015,111.665,ride,n,
190,p000002s000001w000098,111.665,111.95,was,n,
191,p000002s000001w000099,111.95,112.03,the,n,
192,p000002s000001w000100,112.03,112.775,scary,n,
193,p000002s000001w000101,112.775,113.125,"ride,",n,
194,p000002s000001w000102,113.125,113.44,where,n,
195,p000002s000001w000103,113.44,113.705,you,n,
196,p000002s000001w000104,113.705,113.935,have,n,
197,p000002s000001w000105,113.935,114.115,to,n,
198,p000002s000001w000106,114.115,114.42,go,n,
199,p000002s000001w000107,114.42,114.66,ON,s,
200,p000002s000001w000108,114.66,115.19,this,n,
201,p000002s000001w000109,115.19,116.405,ride,n,
202,p000002s000001w000110,116.405,116.765,and,n,
203,p000002s000001w000111,116.765,116.92,you,n,
204,p000002s000001w000112,116.92,117.075,have,n,
205,p000002s000001w000113,117.075,117.34,to,n,
206,p000002s000001w000114,117.34,117.56,go,n,
207,p000002s000001w000115,117.56,118.415,upside,n,
208,p000002s000001w000116,118.415,120.84,down.,n,
